id_tracking_student,NIM,id_tracking_company,student_name,internship_semester,company,position,jenis_penempatan,progress_student,last_update,rejection
TS0016,202213013,TC004,Hanif Ardiansyah,5,PT Global Nusantara,Mechanical Engineer Intern,Part-time,Rejected,2023-05-30,Rejection Study Case
TS0017,202311443,TC004,Dian Cahyani,3,PT Global Nusantara,Mechanical Engineer Intern,Part-time,Placement,2023-06-25,Placement
TS0018,202212086,TC004,Rendy Oktaviani,4,PT Global Nusantara,Mechanical Engineer Intern,Part-time,FU 1,2023-06-05,On Progress
TS0019,202315402,TC004,Bagus Lestari,2,PT Global Nusantara,Mechanical Engineer Intern,Part-time,Placement,2023-08-05,Placement
TS0020,202111330,TC005,Aditya Permana,7,PT Techno Bersama,Supply Chain Analyst,Magang,Rejected,2023-07-26,Rejection Interview User
TS0021,20230612,TC005,Bagus Firdaus,2,PT Techno Bersama,Supply Chain Analyst,Magang,Rejected,2023-07-08,Rejection Screening CV
TS0022,202211633,TC005,Umar Kurniawan,5,PT Techno Bersama,Supply Chain Analyst,Magang,Placement,2023-09-07,Placement
TS0023,202219230,TC006,Prita Ningsih,5,PT Bangkit Global,IT Support,Magang,Finish,2023-09-23,On Progress
TS0024,202222850,TC007,Tiara Sulistyo,3,PT Andalas Informatika,Financial Analyst,Magang,Study Case,2023-08-24,On Progress
TS0025,202022016,TC007,Dimas Nugroho,8,PT Andalas Informatika,Financial Analyst,Magang,Rejected,2023-10-16,Rejection Final Interview
TS0026,20218434,TC007,Hendra Handoko,7,PT Andalas Informatika,Financial Analyst,Magang,Rejected,2023-08-17,Rejection Study Case
TS0027,20235562,TC007,Wulan Anggara,2,PT Andalas Informatika,Financial Analyst,Magang,Rejected,2023-08-30,Rejection Interview User
TS0028,202312520,TC009,Krisna Hakim,2,PT Perkasa Utama,Drafter,Part-time,Rejected,2023-06-15,Rejection Screening CV
TS0029,202118645,TC010,Hendra Pangestu,6,CV Bina Bersama,Marketing Intern,Magang,Interview User,2023-07-11,On Progress
TS0030,20228196,TC010,Dani Dewi,3,CV Bina Bersama,Marketing Intern,Magang,Placement,2023-07-24,Placement
TS0031,202121547,TC010,Dian Sari,5,CV Bina Bersama,Marketing Intern,Magang,FU 1,2023-07-07,On Progress
TS0032,201921579,TC010,Gibran Utami,10,CV Bina Bersama,Marketing Intern,Magang,Final Interview,2023-08-07,On Progress
TS0033,202221980,TC011,Fani Sulistyo,3,PT Digital Bangsa,Consultant Intern,Part-time,Rejected,2023-10-10,Rejection Study Case
TS0034,202023380,TC011,Bima Pangestu,8,PT Digital Bangsa,Consultant Intern,Part-time,FU 2,2023-09-06,On Progress
TS0035,202019983,TC011,Naufal Wulandari,8,PT Digital Bangsa,Consultant Intern,Part-time,Finish,2023-10-18,On Progress
TS0036,20230225,TC012,Ayu Prasetya,3,CV Sentosa Makmur,Digital Marketing Intern,Magang,Finish,2023-03-27,On Progress
TS0037,20209292,TC012,Nurul Kurniawan,8,CV Sentosa Makmur,Digital Marketing Intern,Magang,Rejected,2023-04-06,Rejection Interview User
TS0038,20222239,TC012,Bunga Firmansyah,3,CV Sentosa Makmur,Digital Marketing Intern,Magang,Rejected,2023-03-31,Rejection Study Case
TS0039,202019093,TC012,Yoga Cahyono,9,CV Sentosa Makmur,Digital Marketing Intern,Magang,Rejected,2023-05-09,Rejection Screening CV
TS0040,20202385,TC012,Elsa Handayani,8,CV Sentosa Makmur,Digital Marketing Intern,Magang,Finish,2023-03-11,Rejection Screening CV
TS0041,201911390,TC013,Nanda Kurniawan,10,CV Karya Media,Content Writer,Magang,Finish,2023-08-19,Placement
TS0042,202314360,TC014,Ratna Rahmawati,2,PT Graha Perkasa,Pharmacist Intern,Full-time,Rejected,2023-06-29,Rejection Interview User
TS0043,20239859,TC014,Elsa Ningsih,3,PT Graha Perkasa,Pharmacist Intern,Full-time,FU 3,2023-06-17,On Progress
TS0044,20215086,TC015,Zaki Wibowo,7,PT Bumi Informatika,Research Assistant,Magang,Rejected,2023-07-12,Rejection Final Interview
TS0045,202224316,TC015,Nurul Pangestu,3,PT Bumi Informatika,Research Assistant,Magang,Selecting Student by Company,2023-06-06,On Progress
TS0046,202212641,TC015,Wahyu Cahyono,5,PT Bumi Informatika,Research Assistant,Magang,FU 2,2023-06-29,On Progress
TS0047,202121374,TC016,Aldi Cahyani,6,CV Mandiri Pratama,Marketing Intern,Full-time,FU 1,2023-08-02,On Progress
TS0048,20230292,TC016,Dewi Suryadi,2,CV Mandiri Pratama,Marketing Intern,Full-time,Finish,2023-10-05,Placement
TS0049,202321281,TC016,Farah Putra,3,CV Mandiri Pratama,Marketing Intern,Full-time,Rejected,2023-08-03,Rejection Screening CV
TS0050,202322678,TC017,Lutfia Budiman,2,PT Solusi Karya,Data Analyst,Part-time,Rejected,2023-07-23,Rejection Screening CV
TS0051,202213454,TC017,Oki Ramadhan,4,PT Solusi Karya,Data Analyst,Part-time,Interview User,2023-06-09,On Progress
TS0052,20235599,TC017,Amelia Fitriani,2,PT Solusi Karya,Data Analyst,Part-time,Interview User,2023-06-16,On Progress
TS0053,20221292,TC017,Yoga Wulandari,3,PT Solusi Karya,Data Analyst,Part-time,FU 1,2023-06-02,On Progress
TS0054,20225904,TC017,Aditya Firmansyah,5,PT Solusi Karya,Data Analyst,Part-time,Rejected,2023-06-22,Rejection Interview User
TS0055,20193924,TC017,Dwi Fitriani,9,PT Solusi Karya,Data Analyst,Part-time,Study Case,2023-05-18,On Progress
TS0056,202323088,TC019,Farah Ningsih,2,CV Karya Gemilang,Business Process Analyst,Magang,Rejected,2023-07-25,Rejection Screening CV
TS0057,201924666,TC019,Rangga Santoso,9,CV Karya Gemilang,Business Process Analyst,Magang,Finish,2023-08-06,On Progress
TS0058,202224883,TC019,Kevin Ramadhani,4,CV Karya Gemilang,Business Process Analyst,Magang,Rejected,2023-05-16,Rejection Study Case
TS0059,20238058,TC020,Galih Wijaya,3,CV Sentosa Solusi,HR Intern,Part-time,FU 3,2023-07-28,On Progress
TS0060,202318977,TC020,Prasetyo Mahendra,3,CV Sentosa Solusi,HR Intern,Part-time,FU 1,2023-07-05,On Progress
TS0061,202218237,TC020,Bima Dewi,4,CV Sentosa Solusi,HR Intern,Part-time,CDC Briefing Student,2023-07-01,On Progress
TS0062,202115911,TC020,Sinta Ardiansyah,7,CV Sentosa Solusi,HR Intern,Part-time,Finish,2023-07-26,Ghosting
TS0063,20193924,TC020,Dwi Fitriani,9,CV Sentosa Solusi,HR Intern,Part-time,Rejected,2023-08-31,Rejection Screening CV
TS0064,20228338,TC021,Umar Febriani,3,CV Inti Perkasa,Mechanical Engineer Intern,Full-time,FU 1,2023-07-30,On Progress
TS0065,20234889,TC021,Budi Nugroho,2,CV Inti Perkasa,Mechanical Engineer Intern,Full-time,Placement,2023-08-26,Placement
TS0066,20206431,TC021,Bayu Prasetya,9,CV Inti Perkasa,Mechanical Engineer Intern,Full-time,Placement,2023-08-23,Placement
TS0067,20213229,TC022,Wulan Kusuma,6,PT Bina Digital,IT Support,Magang,Placement,2023-08-02,Placement
TS0068,202221596,TC022,Ahmad Firmansyah,3,PT Bina Digital,IT Support,Magang,FU 3,2023-07-21,On Progress
TS0069,202221256,TC023,Fajar Saputra,5,PT Mandiri Karya,Social Media Specialist,Part-time,Rejected,2023-10-01,Rejection Interview User
TS0070,20216620,TC023,Zahra Pangestu,7,PT Mandiri Karya,Social Media Specialist,Part-time,CDC Briefing Student,2023-08-07,On Progress
TS0071,20237356,TC024,Wahyu Fitriani,2,PT Media Perkasa,Supply Chain Analyst,Magang,Finish,2023-06-02,On Progress
TS0072,202013414,TC025,Mega Ardiansyah,8,CV Sukses Cerdas,IT Support,Magang,Rejected,2023-09-18,Rejection Interview User
TS0073,20225868,TC025,Nadia Wijaya,3,CV Sukses Cerdas,IT Support,Magang,Placement,2023-10-14,Placement
TS0074,202217387,TC026,Wahyu Pangestu,3,PT Esa Informatika,IT Support,Magang,Placement,2023-07-08,Placement
TS0075,202216123,TC026,Julia Mahendra,4,PT Esa Informatika,IT Support,Magang,Study Case,2023-05-05,On Progress
TS0076,202221286,TC026,Ilham Anggraeni,4,PT Esa Informatika,IT Support,Magang,Selecting Student by Company,2023-05-09,On Progress
TS0077,202218214,TC027,Luthfi Fitriani,5,CV Graha Cerdas,Data Analyst,Magang,FU 2,2023-03-12,On Progress
TS0078,202217722,TC027,Maya Setiawan,4,CV Graha Cerdas,Data Analyst,Magang,Finish,2023-02-25,Rejection Interview User
TS0079,202212284,TC027,Lutfia Ramadhan,3,CV Graha Cerdas,Data Analyst,Magang,Rejected,2023-03-12,Rejection Study Case
TS0080,202212925,TC028,Lutfia Nugroho,3,CV Karya Mandiri,Accounting Staff,Magang,Rejected,2023-07-16,Rejection Screening CV
TS0081,202223596,TC028,Wulan Wulandari,5,CV Karya Mandiri,Accounting Staff,Magang,Study Case,2023-05-25,On Progress
TS0082,202311845,TC028,Teguh Wijaya,2,CV Karya Mandiri,Accounting Staff,Magang,Finish,2023-06-06,On Progress
TS0083,202112534,TC028,Ahmad Syahputra,7,CV Karya Mandiri,Accounting Staff,Magang,Interview User,2023-06-06,On Progress
TS0084,202117594,TC028,Nadia Hartono,5,CV Karya Mandiri,Accounting Staff,Magang,Rejected,2023-06-13,Rejection Screening CV
TS0085,202112024,TC029,Prasetyo Nugraha,6,CV Mega Sentosa,Research Assistant,Magang,Rejected,2023-07-26,Rejection Final Interview
TS0086,20222306,TC029,Hana Oktaviani,4,CV Mega Sentosa,Research Assistant,Magang,Selecting Student by Company,2023-07-17,On Progress
TS0087,202110390,TC029,Luthfi Sari,7,CV Mega Sentosa,Research Assistant,Magang,Rejected,2023-09-18,Rejection Screening CV
TS0088,202219531,TC029,Faisal Prabowo,3,CV Mega Sentosa,Research Assistant,Magang,Interview User,2023-08-18,On Progress
TS0089,20227402,TC029,Cahyo Kurniawan,3,CV Mega Sentosa,Research Assistant,Magang,Placement,2023-08-30,Placement
TS0090,202221873,TC030,Rangga Prasetya,5,PT Nusa Terapan,Compliance Officer Intern,Magang,Interview User,2023-04-08,On Progress
TS0091,20222986,TC030,Rizky Wijaya,3,PT Nusa Terapan,Compliance Officer Intern,Magang,Placement,2023-05-03,Placement
TS0092,20216881,TC030,Erlangga Ardiansyah,6,PT Nusa Terapan,Compliance Officer Intern,Magang,Rejected,2023-05-05,Rejection Screening CV
TS0093,20217940,TC030,Tiara Ardiansyah,6,PT Nusa Terapan,Compliance Officer Intern,Magang,Rejected,2023-05-20,Rejection Interview User
TS0094,20237933,TC031,Arif Fitriani,2,PT Esa Digital,Quality Control Staff,Full-time,Ghosting,2023-07-05,Ghosting
TS0095,202318741,TC031,Yoga Cahyono,3,PT Esa Digital,Quality Control Staff,Full-time,Selecting Student by Company,2023-04-30,On Progress
TS0096,20207876,TC031,Lestari Rahmawati,8,PT Esa Digital,Quality Control Staff,Full-time,Placement,2023-06-26,Placement
TS0097,202318803,TC031,Devi Ningsih,3,PT Esa Digital,Quality Control Staff,Full-time,Placement,2023-06-15,Placement
TS0098,202111784,TC032,Umar Ningsih,6,PT Digital Makmur,Customer Service Intern,Magang,Placement,2023-09-18,Placement
TS0099,202111630,TC032,Oscar Ramadhani,6,PT Digital Makmur,Customer Service Intern,Magang,Ghosting,2023-09-05,Ghosting
TS0100,202112267,TC032,Qori Wardani,5,PT Digital Makmur,Customer Service Intern,Magang,Rejected,2023-08-14,Rejection Screening CV
TS0101,20229318,TC032,Fani Wardani,5,PT Digital Makmur,Customer Service Intern,Magang,Finish,2023-07-21,Placement
TS0102,202211002,TC033,Lina Budiman,3,CV Bakti Perkasa,Data Analyst,Full-time,Rejected,2023-10-04,Rejection Screening CV
TS0103,20214025,TC033,Qori Kurniawan,7,CV Bakti Perkasa,Data Analyst,Full-time,Placement,2023-09-15,Placement
TS0104,202017174,TC033,Krisna Kurniawan,7,CV Bakti Perkasa,Data Analyst,Full-time,CDC Briefing Student,2023-08-17,On Progress
TS0105,20205253,TC034,Rendy Gunawan,8,CV Sinergi Utama,Store Supervisor Intern,Full-time,Ghosting,2023-07-01,Ghosting
TS0106,20238801,TC034,Elsa Budiman,2,CV Sinergi Utama,Store Supervisor Intern,Full-time,CDC Briefing Student,2023-06-10,On Progress
TS0107,20238109,TC035,Qonita Safitri,2,PT Jaya Makmur,IT Support,Part-time,FU 1,2023-05-28,On Progress
TS0108,202311423,TC035,Januar Lestari,2,PT Jaya Makmur,IT Support,Part-time,Interview User,2023-05-30,On Progress
TS0109,202214522,TC035,Muhammad Sari,4,PT Jaya Makmur,IT Support,Part-time,CDC Briefing Student,2023-06-03,On Progress
TS0110,202117617,TC036,Dimas Gunawan,6,PT Sejahtera Informatika,HR Intern,Magang,Finish,2023-06-17,On Progress
TS0111,20201927,TC036,Muhammad Prasetya,7,PT Sejahtera Informatika,HR Intern,Magang,Rejected,2023-05-12,Rejection Final Interview
TS0112,202013121,TC036,Prita Wulandari,9,PT Sejahtera Informatika,HR Intern,Magang,Finish,2023-05-03,Placement
TS0113,20220601,TC038,Bayu Oktaviani,5,CV Esa Global,Supply Chain Analyst,Magang,FU 3,2023-08-06,On Progress
TS0114,202119446,TC038,Galih Safitri,5,CV Esa Global,Supply Chain Analyst,Magang,Placement,2023-08-02,Placement
TS0115,20239238,TC039,Taufik Handoko,2,PT Sejahtera Kreatif,Risk Analyst,Magang,FU 1,2023-07-25,On Progress
TS0116,202118171,TC039,Lestari Mahendra,6,PT Sejahtera Kreatif,Risk Analyst,Magang,Rejected,2023-08-08,Rejection Screening CV
TS0117,202012119,TC040,Fani Kusuma,9,PT Bakti Analitika,Content Writer,Magang,Placement,2023-09-05,Placement
TS0118,202211376,TC040,Ahmad Wardani,5,PT Bakti Analitika,Content Writer,Magang,Rejected,2023-08-21,Rejection Interview User
TS0119,20206240,TC040,Satria Ardiansyah,9,PT Bakti Analitika,Content Writer,Magang,Ghosting,2023-08-21,Ghosting
TS0120,202219414,TC041,Laila Saputra,4,PT Inovasi Gemilang,Underwriting Intern,Magang,Study Case,2023-07-07,On Progress
TS0121,20203193,TC041,Aldi Firdaus,9,PT Inovasi Gemilang,Underwriting Intern,Magang,Study Case,2023-07-09,On Progress
TS0122,20215774,TC041,Rangga Maulana,6,PT Inovasi Gemilang,Underwriting Intern,Magang,Finish,2023-07-18,Ghosting
TS0123,202211877,TC041,Umar Ardiansyah,4,PT Inovasi Gemilang,Underwriting Intern,Magang,CDC Briefing Student,2023-06-18,On Progress
TS0124,202018852,TC042,Arif Wijaya,7,CV Inovasi Informatika,Drafter,Magang,Ghosting,2023-08-13,Ghosting
TS0125,20217520,TC042,Dinda Lestari,7,CV Inovasi Informatika,Drafter,Magang,Finish,2023-07-02,Ghosting
TS0126,202314798,TC042,Galih Rahmawati,2,CV Inovasi Informatika,Drafter,Magang,Placement,2023-09-25,Placement
TS0127,202114704,TC042,Yoga Setiawan,7,CV Inovasi Informatika,Drafter,Magang,Rejected,2023-07-19,Rejection Interview User
TS0128,202222997,TC042,Dwi Safitri,5,CV Inovasi Informatika,Drafter,Magang,Placement,2023-09-17,Placement
TS0129,20227536,TC043,Mega Lestari,3,PT Techno Cerdas,Network Engineer Intern,Part-time,Placement,2023-09-18,Placement
TS0130,202015296,TC043,Irfan Ardiansyah,9,PT Techno Cerdas,Network Engineer Intern,Part-time,Placement,2023-09-20,Placement
TS0131,202320716,TC043,Ilham Sari,2,PT Techno Cerdas,Network Engineer Intern,Part-time,Interview User,2023-08-26,On Progress
TS0132,20238267,TC043,Satria Cahyono,2,PT Techno Cerdas,Network Engineer Intern,Part-time,Final Interview,2023-08-19,On Progress
TS0133,202115370,TC043,Bagus Wibowo,7,PT Techno Cerdas,Network Engineer Intern,Part-time,Rejected,2023-08-11,Rejection Screening CV
TS0134,202320313,TC044,Eka Dewi,2,PT Sentosa Mandiri,Visual Merchandiser Intern,Magang,Placement,2023-07-01,Placement
TS0135,202317629,TC044,Maulana Pratama,2,PT Sentosa Mandiri,Visual Merchandiser Intern,Magang,Interview User,2023-05-26,On Progress
TS0136,202311986,TC044,Prita Ramadhani,2,PT Sentosa Mandiri,Visual Merchandiser Intern,Magang,Rejected,2023-05-07,Rejection Study Case
TS0137,202116259,TC044,Putri Rahmawati,6,PT Sentosa Mandiri,Visual Merchandiser Intern,Magang,FU 3,2023-05-29,On Progress
TS0138,20221241,TC045,Wahyu Utami,5,PT Bangkit Informatika,IT Support,Magang,Placement,2023-06-04,Placement
TS0139,20211357,TC045,Sari Puspitasari,6,PT Bangkit Informatika,IT Support,Magang,Interview User,2023-03-30,On Progress
TS0140,202012428,TC045,Tasya Nugraha,9,PT Bangkit Informatika,IT Support,Magang,Selecting Student by Company,2023-03-23,On Progress
TS0141,202019310,TC045,Rizky Putra,9,PT Bangkit Informatika,IT Support,Magang,Rejected,2023-04-10,Rejection Final Interview
TS0142,20235314,TC045,Rendy Prabowo,2,PT Bangkit Informatika,IT Support,Magang,FU 2,2023-04-16,On Progress
TS0143,20215544,TC046,Intan Wibowo,7,PT Bangkit Global,Supply Chain Analyst,Part-time,Finish,2023-07-26,On Progress
TS0144,20200280,TC046,Muhammad Oktaviani,8,PT Bangkit Global,Supply Chain Analyst,Part-time,Placement,2023-08-23,Placement
TS0145,20237977,TC046,Luthfi Hakim,2,PT Bangkit Global,Supply Chain Analyst,Part-time,Final Interview,2023-07-20,On Progress
TS0146,202010973,TC046,Eka Anggraeni,8,PT Bangkit Global,Supply Chain Analyst,Part-time,Study Case,2023-06-29,On Progress
TS0147,202110632,TC046,Amelia Nugraha,5,PT Bangkit Global,Supply Chain Analyst,Part-time,Placement,2023-07-19,Placement
TS0148,202214847,TC046,Wulan Wibowo,3,PT Bangkit Global,Supply Chain Analyst,Part-time,FU 1,2023-07-12,On Progress
TS0149,202220486,TC047,Dian Budiman,3,PT Mandiri Global,Data Analyst,Part-time,Placement,2023-06-12,Placement
TS0150,202113960,TC047,Gilang Pratama,7,PT Mandiri Global,Data Analyst,Part-time,Finish,2023-07-16,On Progress
TS0151,20228196,TC047,Dani Dewi,3,PT Mandiri Global,Data Analyst,Part-time,FU 2,2023-06-21,On Progress
TS0152,202019724,TC047,Laila Ningsih,7,PT Mandiri Global,Data Analyst,Part-time,Rejected,2023-07-09,Rejection Final Interview
TS0153,202111853,TC047,Kirana Anggara,5,PT Mandiri Global,Data Analyst,Part-time,Placement,2023-07-05,Placement
TS0154,202118086,TC047,Fani Ramadhani,7,PT Mandiri Global,Data Analyst,Part-time,Rejected,2023-06-11,Rejection Screening CV
TS0155,202321575,TC048,Dewi Febriani,3,PT Media Informatika,Data Analyst,Part-time,CDC Briefing Student,2023-07-19,On Progress
TS0156,20210872,TC048,Olivia Nugraha,7,PT Media Informatika,Data Analyst,Part-time,Placement,2023-09-20,Placement
TS0157,202223383,TC048,Irfan Dewi,4,PT Media Informatika,Data Analyst,Part-time,Ghosting,2023-09-12,Ghosting
TS0158,202310076,TC049,Bunga Gunawan,2,CV Cakra Media,Quality Control Staff,Magang,Final Interview,2023-07-13,On Progress
TS0159,20226068,TC049,Rizky Firdaus,5,CV Cakra Media,Quality Control Staff,Magang,Rejected,2023-06-23,Rejection Study Case
TS0160,20216750,TC049,Prasetyo Wibowo,6,CV Cakra Media,Quality Control Staff,Magang,Placement,2023-08-07,Placement
TS0161,20235888,TC050,Luthfi Fitriani,2,CV Kreasi Karya,Marketing Intern,Magang,Selecting Student by Company,2023-04-17,On Progress
TS0162,20230076,TC050,Rani Fitriani,2,CV Kreasi Karya,Marketing Intern,Magang,Ghosting,2023-05-20,Ghosting
TS0163,202124861,TC050,Pandu Santoso,7,CV Kreasi Karya,Marketing Intern,Magang,Finish,2023-04-09,On Progress
TS0164,201912106,TC051,Sari Setiawan,11,CV Karya Abadi,Business Development Intern,Magang,Selecting Student by Company,2023-04-22,On Progress
TS0165,20238910,TC051,Gita Utami,2,CV Karya Abadi,Business Development Intern,Magang,Finish,2023-04-21,On Progress
TS0166,20228068,TC051,Joko Cahyono,5,CV Karya Abadi,Business Development Intern,Magang,Final Interview,2023-06-04,On Progress
TS0167,20228560,TC051,Lukman Wardani,3,CV Karya Abadi,Business Development Intern,Magang,Ghosting,2023-06-17,Ghosting
TS0168,202023648,TC051,Ilham Wulandari,8,CV Karya Abadi,Business Development Intern,Magang,Rejected,2023-06-03,Rejection Study Case
TS0169,20237855,TC051,Fani Maulana,3,CV Karya Abadi,Business Development Intern,Magang,Finish,2023-05-13,Ghosting
TS0170,202218739,TC052,Nanda Budiman,4,PT Sejahtera Inovasi,Environmental Analyst,Magang,Placement,2023-07-15,Placement
TS0171,20221999,TC052,Eka Wardani,3,PT Sejahtera Inovasi,Environmental Analyst,Magang,Final Interview,2023-05-14,On Progress
TS0172,20236353,TC052,Zaki Nugraha,2,PT Sejahtera Inovasi,Environmental Analyst,Magang,Rejected,2023-05-20,Rejection Screening CV
TS0173,20210009,TC052,Dinda Firdaus,6,PT Sejahtera Inovasi,Environmental Analyst,Magang,Placement,2023-07-12,Placement
TS0174,20212120,TC053,Faisal Prasetya,7,PT Cakra Cerdas,Visual Merchandiser Intern,Part-time,Rejected,2023-05-01,Rejection Interview User
TS0175,20228982,TC053,Gilang Nugroho,4,PT Cakra Cerdas,Visual Merchandiser Intern,Part-time,Placement,2023-05-20,Placement
TS0176,20236237,TC053,Tasya Hidayat,2,PT Cakra Cerdas,Visual Merchandiser Intern,Part-time,FU 1,2023-03-20,On Progress
TS0177,20203233,TC054,Indah Ningsih,9,PT Perkasa Indonesia,HSE Intern,Magang,Finish,2023-06-06,Placement
TS0178,202114650,TC054,Hana Mahendra,5,PT Perkasa Indonesia,HSE Intern,Magang,FU 1,2023-04-15,On Progress
TS0179,20206431,TC054,Bayu Prasetya,9,PT Perkasa Indonesia,HSE Intern,Magang,Interview User,2023-04-11,On Progress
TS0180,202320650,TC055,Sinta Kusuma,2,CV Bina Inovasi,Frontend Developer,Magang,Interview User,2023-09-03,On Progress
TS0181,202116853,TC055,Oscar Maulana,7,CV Bina Inovasi,Frontend Developer,Magang,Finish,2023-09-10,On Progress
TS0182,202210657,TC055,Sari Ningsih,3,CV Bina Inovasi,Frontend Developer,Magang,Rejected,2023-08-24,Rejection Final Interview
TS0183,20224898,TC056,Umar Sari,3,PT Perkasa Gemilang,Accounting Staff,Magang,FU 2,2023-08-24,On Progress
TS0184,202122543,TC056,Rangga Setiawan,5,PT Perkasa Gemilang,Accounting Staff,Magang,Placement,2023-09-08,Placement
TS0185,202312588,TC056,Intan Firdaus,3,PT Perkasa Gemilang,Accounting Staff,Magang,Placement,2023-09-04,Placement
TS0186,202119764,TC056,Arif Oktaviani,7,PT Perkasa Gemilang,Accounting Staff,Magang,Placement,2023-09-04,Placement
TS0187,20227531,TC056,Riska Syahputra,4,PT Perkasa Gemilang,Accounting Staff,Magang,Finish,2023-07-27,On Progress
TS0188,202120990,TC057,Nurul Lestari,5,PT Global Sejahtera,Operations Intern,Magang,Rejected,2023-06-05,Rejection Final Interview
TS0189,20228855,TC057,Julia Ningsih,5,PT Global Sejahtera,Operations Intern,Magang,Finish,2023-07-08,On Progress
TS0190,202323298,TC058,Indah Puspitasari,2,PT Bumi Teknologi,Geologist Intern,Part-time,Ghosting,2023-07-31,Ghosting
TS0191,202121325,TC058,Anisa Permana,7,PT Bumi Teknologi,Geologist Intern,Part-time,Placement,2023-06-22,Placement
TS0192,202210275,TC058,Muhammad Wijaya,3,PT Bumi Teknologi,Geologist Intern,Part-time,Rejected,2023-08-03,Rejection Study Case
TS0193,201919735,TC058,Nanda Permana,9,PT Bumi Teknologi,Geologist Intern,Part-time,CDC Briefing Student,2023-05-15,On Progress
TS0194,202312543,TC059,Riska Kusuma,2,PT Makmur Utama,Agricultural Engineer Intern,Part-time,Rejected,2023-05-25,Rejection Screening CV
TS0195,20209506,TC059,Maulana Wijaya,8,PT Makmur Utama,Agricultural Engineer Intern,Part-time,Placement,2023-07-20,Placement
TS0196,20216170,TC060,Elsa Puspitasari,7,PT Andalas Kreatif,NOC Technician,Magang,Rejected,2023-08-22,Rejection Final Interview
TS0197,202210252,TC060,Zahra Permana,4,PT Andalas Kreatif,NOC Technician,Magang,Placement,2023-10-11,Placement
TS0198,202112126,TC060,Lina Rahmawati,7,PT Andalas Kreatif,NOC Technician,Magang,Finish,2023-09-03,Rejection Screening CV
TS0199,202223365,TC060,Taufik Ramadhani,5,PT Andalas Kreatif,NOC Technician,Magang,Placement,2023-09-14,Placement
TS0200,202211463,TC061,Tiara Kurniawan,3,CV Sentosa Karya,Digital Marketing Intern,Full-time,CDC Briefing Student,2023-09-05,On Progress
TS0201,20203363,TC062,Vina Permana,8,CV Cakra Analitika,Production Engineer Intern,Magang,Placement,2023-04-24,Placement
TS0202,20222970,TC062,Dwi Permana,5,CV Cakra Analitika,Production Engineer Intern,Magang,Placement,2023-05-22,Placement
TS0203,20222098,TC062,Ivan Pangestu,3,CV Cakra Analitika,Production Engineer Intern,Magang,FU 3,2023-05-01,On Progress
TS0204,20216578,TC062,Aditya Utami,6,CV Cakra Analitika,Production Engineer Intern,Magang,CDC Briefing Student,2023-03-27,On Progress
TS0205,20212104,TC062,Joko Mahendra,5,CV Cakra Analitika,Production Engineer Intern,Magang,Placement,2023-05-20,Placement
TS0206,202021276,TC063,Wulan Hartono,7,PT Graha Bangsa,Content Writer,Part-time,Finish,2023-04-12,On Progress
TS0207,202110167,TC063,Wahyu Handoko,7,PT Graha Bangsa,Content Writer,Part-time,Placement,2023-06-13,Placement
TS0208,20224446,TC063,Joko Handoko,3,PT Graha Bangsa,Content Writer,Part-time,Rejected,2023-04-30,Rejection Study Case
