id_status;NIM;email;nama;semester;program_studi;no_whatsapp;CV;portofolio;IPK;status;domisili;ketersediaan;tools;sync_date
SS0012;20230012;20230012@student.uns.ac.id;Ilham Mahendra;2;Manajemen;81322727653;Ada;Ada;3.34;Active;Klaten;Placed;SPSS, Google Analytics, SQL, SAP;08/06/2024
SS0013;20230013;20230013@student.uns.ac.id;Elsa Ramadhan;3;Pendidikan Teknik Informatika;85300545583;Ada;Ada;3.51;Active;Surakarta;Available;SQL, Git, Moodle, Scratch;03/08/2024
SS0014;20220014;20220014@student.uns.ac.id;Wulan Puspitasari;4;Pendidikan Teknik Informatika;87883357668;Ada;Ada;3.97;Active;Surakarta;Available;Git, HTML/CSS, Scratch, Moodle, JavaScript;25/12/2024
SS0015;20200015;20200015@student.uns.ac.id;Salma Pratama;9;Teknik Elektro;81504317155;Ada;Ada;3.62;Active;Surakarta;Placed;Eagle PCB, MATLAB, Arduino, LabVIEW;15/09/2024
SS0016;20220016;20220016@student.uns.ac.id;Tasya Putra;5;Informatika;83860931608;Ada;Tidak Ada;3.72;Active;Semarang;Placed;JavaScript, Git, React;03/10/2023
SS0017;20220017;20220017@student.uns.ac.id;Farah Ningsih;3;Informatika;83839111532;Ada;Tidak Ada;3.27;Active;Karanganyar;Placed;Java, C++, Flutter;07/02/2023
SS0018;20190018;20190018@student.uns.ac.id;Sari Wibowo;11;Informatika;85263790203;Ada;Ada;3.11;Active;Surakarta;Placed;Go, JavaScript, Java, React, SQL;03/05/2023
SS0019;20220019;20220019@student.uns.ac.id;Nadya Putra;3;Pendidikan Teknik Informatika;85778167663;Ada;Tidak Ada;3.3;Active;Karanganyar;Available;HTML/CSS, SQL, Git, Scratch, JavaScript;20/10/2023
SS0020;20220020;20220020@student.uns.ac.id;Lutfia Ramadhani;5;Statistika;82166474264;Ada;Tidak Ada;2.65;Active;Surakarta;Placed;Excel, R, Power BI, MATLAB, SQL;17/07/2024
SS0021;20210021;20210021@student.uns.ac.id;Qori Anggara;5;Ilmu Komunikasi;85266379581;Tidak Ada;Tidak Ada;3.11;Active;Semarang;Tidak Aktif;Figma, Adobe Premiere, CapCut;25/11/2024
SS0022;20220022;20220022@student.uns.ac.id;Fani Budiman;5;Teknik Industri;85314469399;Tidak Ada;Ada;3.14;Active;Surabaya;Available;SAP, AutoCAD, SolidWorks;14/03/2024
SS0023;20220023;20220023@student.uns.ac.id;Fajar Prabowo;4;Teknik Elektro;85702690896;Ada;Ada;3.16;Active;Bogor;Available;LabVIEW, Python, Verilog, MATLAB, Proteus;08/11/2023
SS0024;20210024;20210024@student.uns.ac.id;Zahra Gunawan;7;Desain Komunikasi Visual;83822923246;Ada;Tidak Ada;2.96;Lulus;Surakarta;Tidak Aktif;Figma, Canva, Adobe Photoshop;27/04/2023
SS0025;20220025;20220025@student.uns.ac.id;Lukman Wibowo;3;Teknik Industri;87813867485;Ada;Ada;3.18;Inactive;Surakarta;Tidak Aktif;Arena Simulation, Python;10/05/2024
SS0026;20210026;20210026@student.uns.ac.id;Dimas Kusuma;6;Psikologi;87765786800;Ada;Ada;3.03;Active;Bandung;Available;Jamovi, NVivo, Excel, SPSS;17/06/2024
SS0027;20230027;20230027@student.uns.ac.id;Eka Sulistyo;2;Sistem Informasi;85749436327;Ada;Ada;3.38;Active;Semarang;Placed;Tableau, SAP, Excel, Python;22/04/2023
SS0028;20190028;20190028@student.uns.ac.id;Gita Kusuma;10;Pendidikan Teknik Informatika;82100421867;Ada;Ada;3.4;Active;Yogyakarta;Tidak Aktif;HTML/CSS, Scratch, Python, Figma, SQL;21/07/2023
SS0029;20210029;20210029@student.uns.ac.id;Erlangga Ramadhan;5;Sistem Informasi;83850565133;Ada;Ada;3.64;Active;Jakarta;Placed;SQL, Power BI, PHP, Python;24/05/2024
SS0030;20210030;20210030@student.uns.ac.id;Dewi Pangestu;6;Informatika;85698766327;Ada;Tidak Ada;3.8;Inactive;Yogyakarta;Tidak Aktif;Python, MongoDB, Node.js;17/05/2023
SS0031;20220031;20220031@student.uns.ac.id;Ilham Permana;3;Sistem Informasi;85689170052;Tidak Ada;Ada;3.05;Active;Surakarta;Available;SQL, Power BI;05/05/2024
SS0032;20200032;20200032@student.uns.ac.id;Krisna Permana;9;Teknik Mesin;81565990527;Ada;Tidak Ada;3.39;Active;Karanganyar;Available;CNC Programming, SolidWorks, ANSYS, MATLAB, AutoCAD;05/04/2024
SS0033;20190033;20190033@student.uns.ac.id;Wahyu Puspitasari;9;Ilmu Komunikasi;83830407751;Ada;Ada;3.45;Active;Bekasi;Placed;WordPress, Figma, CapCut, Hootsuite, Canva;09/07/2023
SS0034;20210034;20210034@student.uns.ac.id;Eka Pratama;5;Ilmu Komunikasi;83897453714;Ada;Ada;3.65;Active;Bandung;Placed;Canva, WordPress, Figma;15/10/2023
SS0035;20230035;20230035@student.uns.ac.id;Candra Firmansyah;2;Informatika;82212666560;Ada;Tidak Ada;3.15;Lulus;Yogyakarta;Tidak Aktif;Laravel, Flutter;13/07/2023
SS0036;20200036;20200036@student.uns.ac.id;Arif Setiawan;8;Teknik Sipil;82147555267;Ada;Ada;3.16;Active;Surakarta;Placed;SAP2000, Revit, AutoCAD;07/07/2024
SS0037;20230037;20230037@student.uns.ac.id;Rangga Wijaya;2;Manajemen;85810056870;Ada;Ada;2.62;Active;Bogor;Available;Canva, SQL, SPSS, Power BI;04/08/2024
SS0038;20210038;20210038@student.uns.ac.id;Umar Anggara;5;Pendidikan Teknik Informatika;81367932353;Tidak Ada;Ada;3.22;Active;Surakarta;Tidak Aktif;HTML/CSS, Python;31/08/2023
SS0039;20220039;20220039@student.uns.ac.id;Gibran Fitriani;3;Agroteknologi;85795165707;Ada;Ada;3.23;Active;Klaten;Placed;R, Drone Mapping;15/08/2023
SS0040;20220040;20220040@student.uns.ac.id;Joko Hidayat;3;Statistika;85346855190;Ada;Tidak Ada;2.67;Active;Jakarta;Available;Power BI, SAS;26/01/2024
SS0041;20200041;20200041@student.uns.ac.id;Taufik Santoso;9;Farmasi;83880510933;Ada;Tidak Ada;2.91;Lulus;Klaten;Tidak Aktif;SPSS, Mendeley, R, Microsoft Office;26/05/2023
SS0042;20210042;20210042@student.uns.ac.id;Nadia Wijaya;6;Teknik Industri;87754370098;Ada;Tidak Ada;3.6;Active;Malang;Available;Minitab, Python, SAP, MATLAB;01/09/2023
SS0043;20230043;20230043@student.uns.ac.id;Arif Nugraha;2;Pendidikan Teknik Informatika;85321704701;Ada;Ada;3.43;Active;Bandung;Placed;Figma, HTML/CSS, Git;26/03/2023
SS0044;20230044;20230044@student.uns.ac.id;Mira Fitriani;2;Farmasi;85397178568;Ada;Ada;3.25;Active;Klaten;Available;Microsoft Office, Mendeley, R;02/06/2023
SS0045;20200045;20200045@student.uns.ac.id;Winda Mahendra;8;Teknik Mesin;82293010559;Ada;Ada;3.75;Active;Surakarta;Tidak Aktif;CNC Programming, ANSYS, MATLAB, AutoCAD;09/10/2023
SS0046;20200046;20200046@student.uns.ac.id;Winda Nugraha;7;Akuntansi;82264708944;Tidak Ada;Tidak Ada;2.94;Lulus;Yogyakarta;Tidak Aktif;Zahir, SAP, Power BI, Jurnal.id, Excel;07/07/2024
SS0047;20190047;20190047@student.uns.ac.id;Mira Handayani;10;Sastra Inggris;85659357076;Ada;Tidak Ada;3.3;Active;Yogyakarta;Placed;SDL Trados, WordPress, Microsoft Office, CAT Tools, Grammarly;25/12/2024
SS0048;20230048;20230048@student.uns.ac.id;Nanda Kusuma;2;Manajemen;85327192602;Tidak Ada;Tidak Ada;3.25;Active;Karanganyar;Tidak Aktif;Canva, SPSS, Power BI, SQL, Excel;19/04/2023
SS0049;20230049;20230049@student.uns.ac.id;Anisa Sulistyo;2;Sastra Inggris;81601093609;Ada;Tidak Ada;3.26;Active;Yogyakarta;Available;SDL Trados, CAT Tools;09/12/2024
SS0050;20220050;20220050@student.uns.ac.id;Hesti Safitri;5;Informatika;81632762805;Ada;Ada;2.54;Active;Depok;Placed;Laravel, Docker;21/09/2024
SS0051;20230051;20230051@student.uns.ac.id;Intan Firdaus;2;Farmasi;87882119569;Ada;Ada;3.44;Inactive;Semarang;Tidak Aktif;SPSS, ChemDraw, Python, Microsoft Office;06/03/2023
SS0052;20230052;20230052@student.uns.ac.id;Dian Saputra;2;Pendidikan Teknik Informatika;85869192205;Ada;Ada;3.39;Active;Surakarta;Available;Figma, Scratch, JavaScript, SQL, HTML/CSS;01/03/2023
SS0053;20230053;20230053@student.uns.ac.id;Naufal Ramadhan;3;Manajemen;85689250075;Ada;Tidak Ada;3.76;Active;Semarang;Placed;Google Analytics, SQL, SPSS, Power BI;09/08/2023
SS0054;20200054;20200054@student.uns.ac.id;Riska Permana;9;Farmasi;83818217748;Ada;Tidak Ada;3.67;Active;Surakarta;Placed;R, ChemDraw;08/04/2023
SS0055;20210055;20210055@student.uns.ac.id;Laila Mahendra;6;Ilmu Komunikasi;85738356999;Ada;Tidak Ada;3.11;Active;Boyolali;Available;CapCut, Adobe Premiere, Canva;15/01/2025
SS0056;20210056;20210056@student.uns.ac.id;Lukman Hakim;5;Sistem Informasi;87846912671;Ada;Ada;3.34;Active;Surakarta;Placed;Power BI, Excel, BPMN;03/11/2023
SS0057;20220057;20220057@student.uns.ac.id;Tiara Safitri;4;Sistem Informasi;81338783056;Ada;Ada;3.42;Active;Semarang;Placed;ERPNext, Java;19/09/2024
SS0058;20220058;20220058@student.uns.ac.id;Yuni Dewi;4;Teknik Industri;85248747811;Tidak Ada;Tidak Ada;3.32;Active;Karanganyar;Available;Python, AutoCAD, SolidWorks;07/03/2023
SS0059;20200059;20200059@student.uns.ac.id;Arif Febriani;9;Farmasi;82292229317;Ada;Ada;2.58;Active;Surabaya;Available;ChemDraw, Python, Microsoft Office, Mendeley;30/08/2024
SS0060;20220060;20220060@student.uns.ac.id;Vina Pratama;5;Sastra Inggris;81505577791;Ada;Ada;3.11;Active;Surakarta;Tidak Aktif;WordPress, Microsoft Office, CAT Tools;09/11/2023
SS0061;20210061;20210061@student.uns.ac.id;Eka Ramadhani;5;Desain Komunikasi Visual;82281157509;Ada;Tidak Ada;3.24;Active;Surakarta;Placed;Canva, Sketch, Adobe Photoshop, InDesign, Adobe Illustrator;11/11/2023
SS0062;20200062;20200062@student.uns.ac.id;Kartika Wibowo;9;Ilmu Komunikasi;85657562943;Ada;Ada;3.55;Cuti;Semarang;Tidak Aktif;Figma, Google Analytics;30/01/2025
SS0063;20200063;20200063@student.uns.ac.id;Bayu Pangestu;8;Teknik Mesin;87894394410;Tidak Ada;Tidak Ada;3.11;Active;Yogyakarta;Tidak Aktif;AutoCAD, SolidWorks, ANSYS, MATLAB;24/09/2024
SS0064;20220064;20220064@student.uns.ac.id;Budi Budiman;4;Sistem Informasi;82254921018;Ada;Ada;2.81;Active;Bandung;Placed;Java, Python, SQL;13/02/2024
SS0065;20220065;20220065@student.uns.ac.id;Anggi Puspitasari;3;Ilmu Komunikasi;85838481115;Ada;Tidak Ada;3.59;Active;Surakarta;Placed;Google Analytics, Canva, WordPress, CapCut, Adobe Premiere;18/05/2024
SS0066;20220066;20220066@student.uns.ac.id;Dafa Lestari;4;Teknik Elektro;81664262455;Ada;Ada;2.83;Active;Surakarta;Tidak Aktif;Verilog, Proteus;12/06/2024
SS0067;20210067;20210067@student.uns.ac.id;Ahmad Utami;5;Pendidikan Teknik Informatika;85222394071;Ada;Ada;3.37;Cuti;Surakarta;Tidak Aktif;Python, Moodle, HTML/CSS, Git, JavaScript;01/10/2024
SS0068;20220068;20220068@student.uns.ac.id;Hafiz Handoko;4;Teknik Industri;81595470060;Ada;Tidak Ada;4;Active;Yogyakarta;Placed;Arena Simulation, SolidWorks;18/03/2024
SS0069;20220069;20220069@student.uns.ac.id;Nanda Adriansyah;3;Farmasi;82252141202;Tidak Ada;Tidak Ada;3.5;Inactive;Surabaya;Tidak Aktif;ChemDraw, R, SPSS, Microsoft Office, Mendeley;11/03/2023
SS0070;20200070;20200070@student.uns.ac.id;Ivan Suryadi;8;Manajemen;85318541333;Ada;Tidak Ada;3.12;Active;Surakarta;Placed;Canva, Excel, SQL;09/07/2023
SS0071;20210071;20210071@student.uns.ac.id;Nadia Pratama;6;Sistem Informasi;87858179157;Ada;Tidak Ada;3.49;Active;Surakarta;Placed;Excel, Python, Power BI, PHP;04/08/2024
SS0072;20220072;20220072@student.uns.ac.id;Bagus Suryadi;4;Sistem Informasi;85211429994;Ada;Tidak Ada;3.04;Active;Magelang;Available;ERPNext, BPMN;09/11/2023
SS0073;20220073;20220073@student.uns.ac.id;Hana Handoko;3;Informatika;87899391426;Ada;Ada;3.05;Lulus;Karanganyar;Tidak Aktif;Go, Node.js, JavaScript, Flutter;05/12/2023
SS0074;20210074;20210074@student.uns.ac.id;Guntur Kurniawan;7;Ilmu Hukum;81220984469;Ada;Ada;2.8;Active;Surakarta;Available;JDIH, Microsoft Office, Westlaw, LexisNexis;27/10/2023
SS0075;20230075;20230075@student.uns.ac.id;Amelia Ramadhan;3;Ilmu Komunikasi;81591367591;Ada;Tidak Ada;3.54;Lulus;Surakarta;Tidak Aktif;Hootsuite, Adobe Premiere, CapCut, Canva;01/04/2023
SS0076;20230076;20230076@student.uns.ac.id;Rani Fitriani;2;Ilmu Komunikasi;82118011308;Ada;Tidak Ada;3.56;Active;Depok;Placed;WordPress, Hootsuite, Figma;19/10/2023
SS0077;20210077;20210077@student.uns.ac.id;Naufal Hidayat;7;Teknik Mesin;83840224626;Ada;Tidak Ada;3.22;Lulus;Surakarta;Tidak Aktif;AutoCAD, ANSYS;24/12/2024
SS0078;20210078;20210078@student.uns.ac.id;Surya Wijaya;5;Pendidikan Teknik Informatika;81642386707;Ada;Ada;3.12;Active;Bogor;Placed;Moodle, Figma, Scratch, Python;09/07/2024
SS0079;20210079;20210079@student.uns.ac.id;Taufik Nugraha;7;Sistem Informasi;87867408772;Ada;Tidak Ada;3.2;Active;Depok;Tidak Aktif;SAP, PHP, Tableau, SQL, Power BI;09/12/2023
SS0080;20200080;20200080@student.uns.ac.id;Farah Suryadi;8;Sistem Informasi;81630510972;Ada;Tidak Ada;3.06;Active;Surakarta;Placed;Excel, SQL, Java, PHP;02/12/2024
SS0081;20210081;20210081@student.uns.ac.id;Devi Ramadhani;5;Teknik Mesin;87889392763;Ada;Tidak Ada;3.13;Active;Surakarta;Placed;AutoCAD, CATIA;07/09/2023
SS0082;20220082;20220082@student.uns.ac.id;Lina Utami;5;Sistem Informasi;83893632786;Ada;Ada;3.42;Active;Surakarta;Placed;BPMN, Java, PHP, Excel, SQL;03/02/2023
SS0083;20220083;20220083@student.uns.ac.id;Lutfia Sulistyo;4;Agroteknologi;87731899593;Ada;Ada;3.41;Active;Bogor;Available;ArcGIS, Drone Mapping, QGIS;04/04/2023
SS0084;20200084;20200084@student.uns.ac.id;Dwi Prasetya;9;Desain Komunikasi Visual;85834705070;Tidak Ada;Ada;3.2;Inactive;Surakarta;Tidak Aktif;Canva, Adobe Illustrator, Figma;25/05/2024
SS0085;20210085;20210085@student.uns.ac.id;Ayu Wulandari;6;Ekonomi Pembangunan;85876866213;Tidak Ada;Tidak Ada;3.15;Active;Surakarta;Available;EViews, Stata, Excel, Tableau, Python;23/02/2024
SS0086;20220086;20220086@student.uns.ac.id;Aditya Prabowo;4;Agroteknologi;85654225955;Ada;Tidak Ada;4;Active;Jakarta;Available;QGIS, R;31/10/2023
SS0087;20200087;20200087@student.uns.ac.id;Bagus Nugroho;9;Statistika;87835110967;Tidak Ada;Ada;3.23;Active;Surakarta;Available;Power BI, MATLAB, Python, Excel, SPSS;01/02/2024
SS0088;20210088;20210088@student.uns.ac.id;Rangga Dewi;6;Pendidikan Teknik Informatika;81250417372;Ada;Tidak Ada;2.87;Active;Magelang;Available;JavaScript, HTML/CSS, Figma, Scratch, Moodle;13/11/2024
SS0089;20200089;20200089@student.uns.ac.id;Indah Gunawan;8;Farmasi;81232381281;Tidak Ada;Tidak Ada;3.43;Active;Surakarta;Available;Python, R, Mendeley, SPSS;19/04/2023
SS0090;20210090;20210090@student.uns.ac.id;Wahyu Budiman;7;Desain Komunikasi Visual;81611275963;Tidak Ada;Tidak Ada;3.51;Active;Boyolali;Available;InDesign, Canva, Blender;12/02/2023
SS0091;20220091;20220091@student.uns.ac.id;Nurul Sari;4;Informatika;81308862306;Ada;Tidak Ada;3.19;Inactive;Tangerang;Tidak Aktif;Laravel, Go, MongoDB;03/09/2024
SS0092;20220092;20220092@student.uns.ac.id;Anisa Febriani;5;Teknik Sipil;83818036485;Ada;Ada;3.04;Lulus;Yogyakarta;Tidak Aktif;SAP2000, AutoCAD, Revit;18/08/2024
SS0093;20220093;20220093@student.uns.ac.id;Cahyo Ramadhani;3;Informatika;81370284616;Ada;Tidak Ada;3.25;Active;Klaten;Placed;React, Node.js;29/10/2023
SS0094;20220094;20220094@student.uns.ac.id;Prita Mahendra;5;Ilmu Komunikasi;85297032043;Ada;Ada;3.72;Active;Bogor;Placed;Canva, Figma, Hootsuite;11/12/2024
SS0095;20220095;20220095@student.uns.ac.id;Qonita Sari;4;Statistika;85810046010;Ada;Ada;2.72;Active;Karanganyar;Tidak Aktif;Excel, SQL, Power BI;04/03/2023
SS0096;20220096;20220096@student.uns.ac.id;Muhammad Kurniawan;4;Teknik Industri;82107223956;Ada;Tidak Ada;3.12;Active;Surakarta;Tidak Aktif;SAP, Arena Simulation, SolidWorks, Excel, Python;06/06/2023
SS0097;20220097;20220097@student.uns.ac.id;Indah Rahmawati;4;Informatika;81598987877;Ada;Ada;3.28;Active;Surabaya;Tidak Aktif;SQL, Flutter, React;12/10/2024
SS0098;20210098;20210098@student.uns.ac.id;Yuni Santoso;6;Sistem Informasi;82298189397;Ada;Tidak Ada;3.73;Active;Klaten;Placed;SAP, SQL, Python, Excel;05/08/2024
SS0099;20220099;20220099@student.uns.ac.id;Cahyo Permana;3;Akuntansi;85755868173;Tidak Ada;Ada;3.05;Inactive;Bekasi;Tidak Aktif;SQL, Power BI, Excel, MYOB;17/06/2024
SS0100;20210100;20210100@student.uns.ac.id;Ivan Febriani;6;Desain Komunikasi Visual;85315758593;Ada;Ada;2.79;Lulus;Surakarta;Tidak Aktif;Adobe After Effects, Sketch, Figma, Adobe Photoshop;08/01/2024
SS0101;20230101;20230101@student.uns.ac.id;Ilham Pangestu;2;Ilmu Komunikasi;85749339271;Tidak Ada;Ada;3.82;Inactive;Jakarta;Tidak Aktif;Canva, WordPress;01/11/2023
SS0102;20220102;20220102@student.uns.ac.id;Qonita Saputra;3;Pendidikan Teknik Informatika;81220715378;Ada;Ada;3.73;Active;Surakarta;Available;Scratch, Moodle, JavaScript;01/12/2023
SS0103;20220103;20220103@student.uns.ac.id;Dimas Ningsih;4;Teknik Sipil;81535440789;Ada;Tidak Ada;3.76;Active;Karanganyar;Available;MS Project, SketchUp, SAP2000, Revit;29/12/2023
SS0104;20220104;20220104@student.uns.ac.id;Intan Fitriani;5;Pendidikan Teknik Informatika;85621007204;Ada;Tidak Ada;3.66;Cuti;Semarang;Tidak Aktif;SQL, Figma;16/10/2024
SS0105;20190105;20190105@student.uns.ac.id;Laila Ardiansyah;9;Pendidikan Teknik Informatika;85675780410;Ada;Ada;3.29;Active;Surakarta;Placed;Scratch, SQL;03/09/2024
SS0106;20230106;20230106@student.uns.ac.id;Ratna Prasetya;2;Manajemen;82162447049;Ada;Ada;3.47;Active;Boyolali;Placed;SQL, SAP, Excel, SPSS, Canva;12/02/2023
SS0107;20220107;20220107@student.uns.ac.id;Fitri Kurniawan;3;Sastra Inggris;82232570443;Tidak Ada;Tidak Ada;3.38;Inactive;Surakarta;Tidak Aktif;SDL Trados, Grammarly, WordPress, Microsoft Office, CAT Tools;18/02/2024
SS0108;20220108;20220108@student.uns.ac.id;Gilang Wijaya;4;Sistem Informasi;85790304381;Ada;Tidak Ada;3.62;Active;Surakarta;Tidak Aktif;Java, SAP, Excel, Power BI;17/08/2023
SS0109;20230109;20230109@student.uns.ac.id;Anggi Anggraeni;3;Farmasi;81692470481;Ada;Ada;2.78;Lulus;Klaten;Tidak Aktif;Python, R, ChemDraw, Mendeley;03/05/2024
SS0110;20200110;20200110@student.uns.ac.id;Dimas Setiawan;8;Akuntansi;85756518127;Ada;Ada;3.11;Active;Magelang;Placed;SAP, Jurnal.id;04/05/2024
SS0111;20210111;20210111@student.uns.ac.id;Guntur Hartono;5;Informatika;85625674053;Ada;Ada;2.66;Active;Surakarta;Placed;Flutter, SQL, MongoDB, Java, Laravel;14/05/2023
SS0112;20210112;20210112@student.uns.ac.id;Fitri Oktaviani;5;Desain Komunikasi Visual;85311902060;Tidak Ada;Tidak Ada;2.95;Active;Jakarta;Tidak Aktif;Canva, Adobe Photoshop, Blender;03/05/2023
SS0113;20210113;20210113@student.uns.ac.id;Farhan Syahputra;5;Ilmu Komunikasi;82121442673;Ada;Ada;3.53;Active;Karanganyar;Placed;Figma, WordPress, Adobe Premiere, CapCut, Hootsuite;19/05/2023
SS0114;20220114;20220114@student.uns.ac.id;Elsa Lestari;5;Ekonomi Pembangunan;81661599944;Ada;Tidak Ada;3.34;Inactive;Semarang;Tidak Aktif;Excel, EViews, Tableau;20/08/2023
SS0115;20220115;20220115@student.uns.ac.id;Anisa Fitriani;4;Informatika;87758268295;Ada;Tidak Ada;3.26;Active;Boyolali;Placed;Python, Docker, JavaScript, Java;23/11/2023
SS0116;20200116;20200116@student.uns.ac.id;Rizky Puspitasari;9;Ekonomi Pembangunan;82223585935;Ada;Ada;3.04;Active;Yogyakarta;Available;R, EViews, Stata, SPSS;22/05/2023
SS0117;20220117;20220117@student.uns.ac.id;Hafiz Sulistyo;4;Agroteknologi;81250750781;Ada;Tidak Ada;3.24;Active;Surakarta;Placed;QGIS, Drone Mapping, SPSS, Excel, AutoCAD;28/10/2023
SS0118;20220118;20220118@student.uns.ac.id;Devi Sari;4;Teknik Mesin;85677774449;Tidak Ada;Ada;2.89;Active;Karanganyar;Tidak Aktif;AutoCAD, CATIA, SolidWorks, ANSYS;30/04/2023
SS0119;20210119;20210119@student.uns.ac.id;Cahyo Budiman;5;Manajemen;83882648627;Ada;Tidak Ada;3.44;Active;Surakarta;Placed;SQL, SPSS, Excel, Canva;10/01/2025
SS0120;20210120;20210120@student.uns.ac.id;Devi Sari;7;Akuntansi;81646091210;Ada;Ada;3.87;Active;Yogyakarta;Available;Accurate, Zahir;03/10/2024
SS0121;20230121;20230121@student.uns.ac.id;Bella Anggara;2;Sistem Informasi;85260160993;Ada;Tidak Ada;3.22;Active;Boyolali;Placed;Tableau, Python, SQL, BPMN, Excel;24/10/2024
SS0122;20200122;20200122@student.uns.ac.id;Intan Saputra;7;Manajemen;81517431603;Ada;Ada;3.31;Active;Surakarta;Placed;Canva, SPSS, Power BI, Excel;08/07/2024
SS0123;20200123;20200123@student.uns.ac.id;Teguh Dewi;9;Statistika;85398844278;Ada;Ada;2.86;Lulus;Jakarta;Tidak Aktif;SAS, SPSS;23/11/2023
SS0124;20220124;20220124@student.uns.ac.id;Rangga Wijaya;4;Manajemen;85645495957;Ada;Tidak Ada;3.28;Active;Surakarta;Placed;SQL, Canva, SAP, SPSS;21/05/2023
SS0125;20220125;20220125@student.uns.ac.id;Lukman Mahendra;5;Statistika;81627183224;Ada;Ada;3.28;Active;Jakarta;Placed;R, SPSS, MATLAB, Excel, SQL;01/07/2024
SS0126;20230126;20230126@student.uns.ac.id;Naufal Anggraeni;2;Pendidikan Teknik Informatika;81376404046;Tidak Ada;Tidak Ada;3.18;Cuti;Surakarta;Tidak Aktif;Figma, HTML/CSS, Git, SQL, JavaScript;04/01/2024
SS0127;20210127;20210127@student.uns.ac.id;Gita Setiawan;6;Sistem Informasi;81250228920;Ada;Ada;3.42;Active;Semarang;Placed;ERPNext, BPMN, SQL, Java, Python;12/12/2023
SS0128;20210128;20210128@student.uns.ac.id;Ika Cahyani;6;Teknik Elektro;87877423935;Ada;Tidak Ada;3.04;Active;Malang;Placed;MATLAB, Verilog, Proteus, Python;31/08/2024
SS0129;20220129;20220129@student.uns.ac.id;Gibran Dewi;4;Sastra Inggris;83839692151;Ada;Ada;2.92;Active;Bekasi;Placed;CAT Tools, Microsoft Office, Grammarly, SDL Trados, WordPress;20/06/2023
SS0130;20190130;20190130@student.uns.ac.id;Zaki Pratama;9;Akuntansi;85348696537;Ada;Tidak Ada;3.22;Inactive;Surakarta;Tidak Aktif;MYOB, SQL, Power BI;10/02/2023
SS0131;20200131;20200131@student.uns.ac.id;Kirana Wijaya;7;Informatika;83831873095;Ada;Ada;3.41;Active;Jakarta;Available;Java, MongoDB, React, SQL;01/01/2025
SS0132;20200132;20200132@student.uns.ac.id;Candra Dewi;7;Manajemen;82241485027;Ada;Tidak Ada;3.1;Active;Yogyakarta;Placed;Canva, SPSS, Google Analytics, SAP, Excel;19/01/2025
SS0133;20220133;20220133@student.uns.ac.id;Winda Cahyani;5;Ilmu Hukum;85600907220;Ada;Tidak Ada;3.61;Active;Jakarta;Available;Westlaw, Mendeley, Microsoft Office;03/05/2024
SS0134;20220134;20220134@student.uns.ac.id;Fitri Putra;3;Pendidikan Teknik Informatika;82295960233;Ada;Tidak Ada;2.66;Active;Tangerang;Placed;HTML/CSS, Scratch;03/10/2023
